N,P,K,Temperature,Humidity,pH,Rainfall,Label,Disease_Prone,Common_Disease(Fungal),Common_Disease(Bacterial),Common_Disease(Viral),Salinity_dS_m,Water_Requirement,Disease_Resistance_Score,Nutrient_Deficiency
56,62,54,37.9,73.4,7.44,337.5,Bitter Gourd,No,None,None,None,1.62,677.7,2.9,None
32,33,36,28.7,49.1,6.05,396.8,Amaranth,Yes,None,Scab,None,3.35,266.7,9.9,None
111,42,36,25.1,55.7,6.88,156.7,Paddy,No,Anthracnose,None,None,1.5,461.2,2.0,Phosphorus
76,25,56,16.2,34.4,7.13,314.9,Guar,Yes,None,None,None,2.62,640.8,9.1,Potassium
105,39,74,19.0,60.6,6.68,302.6,Paddy,Yes,None,None,Cucumber Mosaic Virus,3.01,731.5,1.3,Nitrogen
85,24,29,17.3,57.7,6.53,96.9,Turmeric,No,None,None,None,1.03,773.9,1.8,Phosphorus
78,70,87,31.2,48.8,5.89,163.9,Chilly,Yes,Rhizoctonia Rots,None,Cucumber Mosaic Virus,1.89,389.4,1.1,Potassium
108,76,81,17.4,85.9,6.33,279.2,Brinjal,Yes,Mildew,Bacterial Crown Gall,Yellowing,0.97,703.4,5.0,Potassium
35,10,38,25.0,60.3,6.84,84.4,Peas,No,None,None,Brome Mosaic Virus,2.53,505.4,5.4,Nitrogen
39,47,63,36.9,76.6,6.11,184.3,Paddy,No,None,None,None,0.62,714.1,3.5,Potassium
89,62,25,15.5,77.7,6.11,271.5,Mustard,No,Sclerotium Rots,None,None,1.48,517.2,7.3,None
64,11,43,18.7,52.8,5.74,283.9,Turmeric,Yes,None,None,None,2.35,116.0,1.4,Potassium
32,78,13,24.6,66.2,6.16,330.1,Cabbage,No,Rust,None,Tomato Yellow Leaf Curl Virus,2.87,413.4,1.8,Phosphorus
50,48,68,17.3,62.4,6.43,369.9,Oat,Yes,None,None,None,2.48,650.6,3.3,None
96,73,50,19.8,74.6,7.03,346.4,Alfalfa,Yes,None,None,None,2.81,469.2,8.6,Phosphorus
32,20,69,25.7,34.9,7.06,354.7,Coriander,No,None,None,None,0.78,541.7,6.6,Nitrogen
64,78,22,16.3,36.4,5.65,182.7,Chilly,No,None,Soft Rot,None,0.76,603.9,7.4,None
98,75,25,23.1,51.6,5.88,172.5,Amaranth,No,None,None,None,3.41,267.5,5.6,Nitrogen
24,34,46,23.1,86.7,6.56,252.9,Maize,No,None,None,None,0.88,522.0,8.0,Nitrogen
34,50,19,17.7,53.3,6.46,257.7,Bitter Gourd,No,Sclerotinia Rots,None,None,1.47,382.1,5.5,Potassium
50,41,59,28.6,85.8,7.32,275.6,Ragi,No,None,None,None,2.55,513.2,8.7,Nitrogen
101,79,13,18.5,60.9,7.18,177.7,Guar,Yes,Rhizoctonia Rots,None,None,0.76,400.1,9.9,Nitrogen
20,31,42,16.8,76.0,5.52,291.5,Chilly,Yes,None,None,None,1.76,619.4,3.6,Potassium
50,63,10,23.1,84.4,6.42,190.6,Paddy,No,None,None,None,1.17,611.4,8.7,None
110,22,66,36.0,42.0,7.4,134.3,Turmeric,No,None,None,None,1.49,443.5,2.3,Nitrogen
101,53,13,27.0,71.4,5.86,365.4,Coriander,No,None,Bacterial Blight,None,2.45,478.4,9.3,Nitrogen
101,30,65,31.0,71.4,5.97,161.5,Sunflower,Yes,None,None,Stunt,2.82,118.3,5.7,Phosphorus
33,33,18,35.4,75.8,6.65,317.0,Linseed,Yes,None,None,None,3.48,153.1,5.7,Potassium
80,24,19,19.0,45.7,6.19,83.8,Jowar,Yes,None,None,None,0.94,537.9,6.8,Potassium
92,16,11,27.2,59.5,7.25,76.9,Castor,No,None,None,None,1.64,349.5,9.2,Phosphorus
105,70,53,36.5,49.0,6.85,247.6,Mustard,Yes,None,Citrus Cankers,None,1.46,709.1,8.9,Phosphorus
83,42,20,23.7,47.8,7.25,176.9,Oat,No,None,None,Stunt,1.36,320.0,4.4,Nitrogen
20,29,26,32.1,85.8,7.37,176.3,Brinjal,No,None,None,None,0.99,774.8,2.4,None
54,39,60,33.9,60.2,6.5,286.3,Peas,No,Downy Mildew,None,Brome Mosaic Virus,1.25,244.2,8.9,None
112,48,76,17.8,68.9,5.72,209.8,Fennel,Yes,None,Bacterial Canker,None,0.73,215.1,2.5,Nitrogen
112,68,56,22.5,46.8,5.65,109.3,Chilly,No,None,None,None,2.92,397.6,1.1,Phosphorus
104,76,46,18.4,32.5,6.39,125.4,Maize,Yes,None,None,None,1.16,267.5,3.7,Nitrogen
88,35,70,15.4,62.0,6.46,190.3,Mustard,Yes,Leaf Spot,Leaf Spot Wilt,None,2.61,777.7,4.3,None
52,31,38,33.2,43.2,6.68,352.2,Bajra,Yes,None,None,None,2.71,678.3,6.7,Potassium
69,32,23,23.7,68.4,5.77,340.2,Fennel,No,None,Canker,None,3.49,648.5,3.2,Phosphorus
48,14,17,29.8,86.4,7.38,229.0,Chilly,No,None,None,None,3.21,457.5,7.5,None
83,18,23,15.0,31.9,6.87,61.1,Coriander,Yes,None,None,None,2.11,658.7,3.8,None
100,80,45,28.9,72.3,7.44,272.1,Tomato,Yes,Leaf Spot,None,None,3.43,659.7,3.7,Phosphorus
93,68,11,35.7,34.9,6.99,204.7,Sunflower,Yes,None,None,None,2.96,218.3,4.0,Phosphorus
77,70,42,25.1,66.7,7.34,377.1,Coriander,Yes,Powdery Mildew,None,None,0.87,512.3,8.3,Nitrogen
80,61,78,17.4,87.6,6.11,290.4,Cumin,Yes,None,None,None,2.93,590.9,7.5,Nitrogen
100,60,22,28.8,59.2,5.95,221.4,Wheat,Yes,None,None,None,2.53,225.1,9.0,None
42,13,24,18.4,65.7,5.57,296.4,Cotton,Yes,Downy Mildew,None,Potato Virus X,2.73,284.7,3.8,Nitrogen
30,24,60,28.4,81.8,6.53,380.8,Bitter Gourd,Yes,Anthracnose,None,None,1.47,710.2,2.4,None
30,21,71,35.4,67.2,7.33,278.5,Alfalfa,Yes,None,None,None,0.86,524.1,4.1,Potassium
68,61,76,17.5,60.1,5.8,395.9,Potato,Yes,None,None,None,1.77,336.2,3.4,Potassium
89,67,26,39.6,37.6,6.63,74.0,Soybean,Yes,Black Spot,Aerial Stem Rot,None,1.45,735.1,3.2,Nitrogen
74,15,61,28.3,86.4,7.12,361.9,Peas,No,None,None,Tomato Yellow Leaf Curl Virus,1.6,260.2,4.3,Nitrogen
35,63,69,28.3,67.0,5.91,303.2,Fennel,Yes,None,None,None,0.67,162.1,3.4,Nitrogen
43,18,37,23.2,40.8,7.25,58.5,Bitter Gourd,No,None,None,Tobacco Mosaic Virus,1.16,302.6,3.1,Potassium
28,44,14,22.2,72.1,6.63,118.6,Okra,No,None,None,None,2.68,571.4,6.5,Phosphorus
115,30,39,34.8,38.1,6.32,219.5,Bajra,Yes,None,None,Plum Pox Virus,2.66,500.9,8.3,Phosphorus
48,18,51,31.7,80.6,7.03,370.6,Peas,No,None,None,Brome Mosaic Virus,0.76,127.3,8.0,Nitrogen
38,61,72,20.5,76.9,6.68,107.9,Cabbage,Yes,None,None,None,1.8,261.1,1.8,Nitrogen
32,21,40,36.4,82.2,5.56,325.6,Brinjal,Yes,Rhizoctonia Rots,None,None,2.41,739.6,2.2,Nitrogen
86,71,42,34.1,71.8,5.89,291.3,Tomato,Yes,Sclerotium Rots,None,None,2.45,558.0,3.8,Potassium
107,47,59,37.4,51.2,7.48,119.0,Potato,Yes,Powdery Mildew,Aerial Stem Rot,None,3.13,269.6,1.0,None
90,77,58,16.3,77.9,7.28,178.5,Paddy,Yes,None,None,None,3.31,353.9,6.9,Phosphorus
104,11,89,22.0,37.5,6.26,189.0,Linseed,No,None,None,None,2.84,204.7,7.1,Potassium
54,45,30,26.5,64.8,5.66,119.1,Castor,Yes,None,None,None,3.02,261.3,3.4,Potassium
99,68,65,27.4,80.3,6.4,182.0,Alfalfa,No,None,None,None,3.27,696.7,1.5,None
73,62,52,37.6,38.9,5.9,360.7,Cotton,Yes,None,Canker,None,2.54,434.4,8.2,Potassium
48,60,27,16.6,79.3,6.8,331.0,Wheat,Yes,Rhizoctonia Rots,None,None,2.86,223.2,9.6,Nitrogen
26,70,79,15.6,43.4,6.1,345.3,Bitter Gourd,No,Leaf Spot,None,None,3.13,650.5,6.9,None
103,71,74,17.5,78.4,5.61,143.2,Beet,Yes,None,None,None,2.41,472.7,4.8,None
68,52,80,23.2,38.8,7.36,53.8,Chilly,No,Black Spot,None,None,1.32,121.9,7.9,None
73,41,75,24.0,82.4,6.29,351.2,Sugarcane,No,None,Citrus Cankers,None,2.81,301.6,1.7,None
87,62,14,15.9,62.5,6.78,359.0,Onion,Yes,None,Fire Blight,None,0.81,722.2,8.7,Potassium
64,39,52,29.0,76.0,6.58,89.4,Barley,No,None,None,None,1.21,266.2,5.1,Potassium
53,37,67,29.5,89.9,6.65,345.2,Alfalfa,Yes,None,None,None,0.68,227.1,2.4,Potassium
78,24,87,37.7,53.2,6.31,338.7,Garlic,Yes,None,Soft Rot,None,2.01,484.4,8.0,Potassium
108,20,34,36.8,85.9,5.52,265.3,Maize,No,None,None,None,2.49,305.0,3.1,Phosphorus
30,70,83,28.3,77.1,7.05,300.1,Fennel,No,None,Canker,None,0.87,150.9,4.8,Potassium
55,60,65,37.7,72.9,6.56,379.9,Garlic,Yes,None,Fire Blight,None,2.71,355.1,5.2,Nitrogen
58,23,83,23.9,63.8,5.52,291.7,Potato,No,None,None,None,2.55,276.2,7.3,Phosphorus
46,11,62,16.1,53.4,6.16,175.2,Sugarcane,Yes,Blight,None,None,0.92,500.7,7.8,Phosphorus
46,31,87,39.0,45.9,6.64,328.7,Jowar,Yes,None,None,None,3.47,318.6,7.2,Nitrogen
104,56,82,36.8,79.7,7.48,94.2,Fennel,No,None,None,None,0.89,358.8,7.7,Potassium
21,47,30,26.9,53.5,7.22,219.4,Soybean,Yes,None,None,None,1.0,190.9,5.0,Nitrogen
57,72,35,16.1,52.0,5.83,377.5,Ragi,Yes,Sclerotium Rots,Citrus Cankers,None,2.88,566.9,3.8,Phosphorus
65,69,38,24.3,72.3,7.21,223.6,Chilly,No,None,None,Yellowing,0.95,632.7,5.1,None
26,32,31,23.9,42.5,6.53,252.7,Cauliflower,No,Botrytis Blight,Black Rot,None,0.63,210.5,5.8,Potassium
41,76,20,36.8,36.9,6.7,304.3,Wheat,No,Leaf Spot,None,None,0.83,256.3,4.8,Phosphorus
48,65,78,37.9,75.3,5.93,176.4,Cauliflower,Yes,None,None,None,2.08,292.7,2.3,Potassium
27,15,10,34.2,46.5,6.64,108.1,Linseed,Yes,None,None,None,1.17,275.4,6.5,Potassium
117,69,56,24.2,44.2,5.86,287.2,Garlic,No,None,None,None,2.35,402.4,6.3,None
101,46,64,39.2,60.0,7.25,68.6,Castor,Yes,None,None,None,0.6,164.8,3.1,None
105,79,44,26.9,73.3,7.24,158.7,Cumin,No,Blight,Black Rot,None,2.74,163.6,2.3,Phosphorus
38,36,75,34.4,75.6,7.23,53.2,Linseed,Yes,None,Blackleg,None,0.53,264.7,6.5,Potassium
115,74,17,39.2,71.5,6.02,79.7,Cumin,Yes,None,None,None,0.7,514.7,2.1,Potassium
80,49,40,29.9,55.2,5.67,54.1,Beet,No,None,None,None,0.52,460.9,5.2,Nitrogen
101,52,88,30.3,62.4,5.52,182.9,Bajra,No,None,None,None,2.31,775.8,5.4,Nitrogen
54,17,32,17.9,40.1,7.02,316.4,Wheat,Yes,None,Bacterial Crown Gall,None,0.61,415.0,6.8,Phosphorus
27,77,81,20.1,53.7,6.92,222.4,Potato,No,Rhizoctonia Rots,Bacterial Crown Gall,None,2.59,777.6,4.1,Nitrogen
36,64,29,32.6,88.9,7.1,396.3,Beet,Yes,None,None,None,2.65,763.7,6.4,Phosphorus
21,34,19,39.9,50.8,5.81,282.5,Bitter Gourd,No,None,None,None,1.71,342.1,7.8,Phosphorus
41,70,63,39.5,50.6,7.4,273.1,Maize,No,Anthracnose,Tuber Soft Rot,None,2.35,514.1,1.5,Nitrogen
99,43,49,37.0,32.2,7.42,55.9,Peas,No,None,Canker,None,3.23,272.2,1.4,Phosphorus
92,59,37,33.4,75.9,6.94,311.7,Bajra,No,None,None,None,2.49,687.4,3.3,Nitrogen
103,67,76,24.4,37.8,7.43,278.5,Onion,Yes,None,None,None,0.79,509.9,1.7,Potassium
100,59,22,18.1,33.2,6.26,188.8,Fennel,Yes,None,None,None,1.94,782.9,4.6,Potassium
89,21,20,36.4,82.3,5.65,184.3,Cabbage,No,None,None,Cauliflower Mosaic Virus,1.93,518.1,7.3,Potassium
99,80,45,34.5,69.5,6.06,86.9,Maize,No,None,None,None,1.05,775.9,8.7,Phosphorus
28,52,47,37.9,62.3,5.87,168.6,Cotton,No,None,Bacterial Canker,None,3.04,182.6,7.2,Nitrogen
91,66,16,28.7,40.3,6.1,102.7,Chilly,No,None,Bacterial Canker,None,1.6,533.3,3.1,None
111,15,75,33.4,46.2,7.36,71.8,Onion,No,None,None,None,1.62,180.9,2.6,Phosphorus
48,13,78,19.2,35.3,5.95,96.3,Coriander,Yes,None,Aerial Stem Rot,None,2.76,197.3,4.8,Phosphorus
62,68,37,31.3,43.4,5.9,368.6,Paddy,Yes,None,None,None,1.73,424.7,6.1,Potassium
39,57,32,38.1,79.1,6.95,324.2,Sunflower,No,Downy Mildew,None,None,2.32,325.1,2.6,Potassium
102,19,30,28.4,77.6,6.31,75.2,Chilly,No,None,None,None,1.88,637.8,2.4,Phosphorus
70,26,27,16.4,66.1,7.39,181.8,Cotton,No,None,None,None,1.68,214.4,4.4,Phosphorus
78,22,86,38.2,48.8,6.35,316.2,Amaranth,Yes,None,None,None,2.44,536.8,7.1,None
54,20,19,23.6,85.1,6.08,151.3,Bitter Gourd,Yes,None,Citrus Cankers,Stunt,3.48,272.2,3.9,Phosphorus
113,39,90,19.9,43.8,5.6,377.3,Peas,No,None,None,None,1.51,769.3,1.8,Nitrogen
43,38,32,38.1,72.2,7.09,224.5,Guar,Yes,None,None,None,3.24,439.6,6.2,Potassium
24,26,13,39.1,87.7,5.7,361.9,Coriander,No,None,None,None,1.23,254.1,6.1,Nitrogen
33,46,77,17.7,59.0,7.34,264.9,Oat,No,None,None,Tomato Yellow Leaf Curl Virus,2.8,721.3,2.0,None
102,28,72,17.7,72.7,7.17,185.0,Guar,Yes,None,None,None,2.06,174.9,7.2,None
33,28,60,37.3,72.5,6.19,269.6,Linseed,Yes,Downy Mildew,None,None,0.83,725.7,5.6,Potassium
60,46,76,24.8,64.5,6.01,101.3,Coriander,No,None,None,None,0.59,505.1,5.6,Phosphorus
83,50,86,33.4,46.6,5.69,75.7,Cotton,No,None,None,None,1.8,152.1,3.1,None
75,47,87,36.6,82.0,5.65,257.5,Alfalfa,No,Powdery Mildew,None,None,1.17,553.8,8.5,Potassium
38,25,60,28.6,76.6,6.94,380.5,Castor,No,Anthracnose,None,None,1.12,123.1,1.4,Phosphorus
65,11,56,35.6,45.5,6.73,101.4,Coriander,No,None,None,None,2.86,449.5,8.5,Phosphorus
31,41,14,34.4,31.9,6.49,303.8,Jowar,No,None,None,None,3.4,435.6,8.5,Phosphorus
40,53,76,27.3,49.1,5.56,263.5,Onion,No,Mildew,None,Cauliflower Mosaic Virus,1.77,321.5,4.8,Potassium
101,44,14,15.2,37.8,7.01,377.1,Sunflower,Yes,Blight,None,None,1.16,175.0,9.0,Nitrogen
66,77,52,35.1,77.1,5.98,304.6,Chilly,No,None,None,None,1.36,526.1,9.5,Nitrogen
73,41,77,33.5,51.5,6.48,162.9,Tomato,Yes,Fusarium Rots,None,None,3.25,413.7,7.7,Nitrogen
59,53,66,24.0,34.3,6.76,122.9,Maize,Yes,Blight,Tuber Soft Rot,None,2.35,715.9,5.3,None
24,39,29,31.8,37.8,6.62,73.2,Okra,Yes,None,None,None,1.06,505.3,7.2,None
99,42,10,25.3,83.4,5.55,304.3,Maize,No,Black Spot,Soft Rot,None,0.52,160.0,8.5,Nitrogen
35,62,55,29.7,52.6,6.27,291.2,Beet,Yes,None,None,None,1.36,223.6,4.9,Potassium
57,37,60,36.1,75.1,7.3,144.9,Jowar,No,None,None,None,3.49,566.6,2.2,Phosphorus
69,35,53,21.0,47.3,7.12,242.5,Garlic,No,Rust,None,None,1.23,124.3,5.4,Nitrogen
95,28,78,23.0,41.0,6.98,305.0,Cumin,Yes,None,Tuber Soft Rot,None,3.06,267.7,5.2,Potassium
77,68,86,35.8,82.7,7.11,292.1,Cotton,Yes,Mildew,Scab,None,3.23,250.6,8.8,Potassium
21,31,25,19.6,76.9,6.27,180.6,Paddy,No,None,None,None,1.89,428.0,3.8,Phosphorus
88,68,47,18.9,37.1,6.88,358.8,Alfalfa,No,Botrytis Blight,None,None,2.93,798.4,2.4,Phosphorus
45,43,33,37.2,87.1,6.08,305.1,Sugarcane,Yes,Downy Mildew,None,None,1.7,105.3,9.1,Phosphorus
113,10,28,20.1,79.4,7.41,57.6,Onion,Yes,None,None,None,0.83,107.8,1.7,Potassium
82,79,25,35.9,67.7,6.16,162.1,Chilly,Yes,None,None,None,3.44,284.3,9.8,Potassium
51,56,57,26.8,63.7,6.46,147.9,Cumin,Yes,None,None,None,0.91,190.7,8.0,None
59,72,67,36.5,55.5,5.52,255.0,Chilly,Yes,Anthracnose,Scab,None,2.7,619.1,2.4,Nitrogen
54,67,16,31.1,53.6,5.86,340.1,Alfalfa,No,None,Canker,Tomato Yellow Leaf Curl Virus,3.24,280.2,9.2,Nitrogen
76,64,43,22.9,30.3,7.4,166.3,Garlic,Yes,None,None,None,2.49,253.3,6.4,Potassium
44,63,25,33.4,71.7,6.5,313.7,Bitter Gourd,Yes,None,None,None,3.32,714.5,8.3,Phosphorus
26,62,10,37.4,71.0,6.02,301.4,Brinjal,Yes,Mildew,Citrus Cankers,None,1.06,292.2,9.2,None
83,29,39,32.1,67.3,7.42,378.6,Castor,Yes,Botrytis Blight,Bacterial Crown Gall,None,2.49,378.2,2.0,Nitrogen
26,68,61,20.2,53.0,7.15,376.5,Cumin,No,None,None,None,3.21,153.3,2.7,None
